Dataset;Source of Content;Target Issue;C1;C2;C3;C4;C5-a;C5-b;C5-c;C5-d;C5-e;C5-f;C5-g;C5-h;C5-i;C6-a;C6-b;C6-c;C6-d;C6-e;C7-a;C7-b
DAIC-WoZ;CI,;DP, AX, PTSD;1;;1;;1;;;;;;;;;;;;;;1;1
Guo et al.;CI;DP;1;;;1;1;1;1;1;;;;;;1;;1;1;;1;
Japanese Daily Speech Dataset (JDSD);CS, SS;DP, AX;;;;;1;1;1;;;;;;1;;;;;;;
MODMA;CI;DP;1;1;1;1;1;1;1;;;;;;;1;1;1;;;1;1
D-Vlog;YT;DP;;;1;;1;;1;;;;;;;;;;;;;
Jiang et al.;CI;DP;;;;1;1;1;1;;;;;;;;;1;;;1;
Android;CI, SR;DP;1;;1;1;1;1;1;1;;;;1;;;1;1;1;;1;1
DEPAC;CS;DP, AX;;;;1;1;1;1;1;;1;;1;1;;;1;;;1;1
Black Dog Institute;CI;DP;1;;;1;1;1;;;;1;;1;;1;;1;1;;1;1
DP Severity Interviews Database;CI;DP;;;;;1;1;;;;;;;;;;1;1;;1;1
Moodable;CS, SR;DP;1;1;;;;;;;;;;;1;;;;;;;
EMU;CS, SR, SS;DP, AX;1;1;1;1;;;;;;;;;1;;1;;;;1;1
(CMDC);CI,;DP;1;;1;1;1;1;1;;;1;;1;;1;1;1;1;;1;1
StudentSADD;CI, CS,;DP, SI;1;1;1;1;1;1;;1;1;1;;1;1;;1;;;;1;
Well-Being Dataset;CI,;DP, AX, SS, S;1;;;;1;1;;;;;;1;1;;;;;;1;1
Lin et al.;CI,;DP, AX;1;;;;1;1;1;;;;;1;1;;;;;;1;
EATD-Corpus;CI,;DP;1;;;;1;;;;;;;1;;;1;;;;1;
AMCAPSAA;SR;AX;;;;;1;1;1;;;;;;1;;;;;;1;1
VAS Corpus;ST;DM;;;;;1;1;1;;;;;1;;;;;;;1;
Kempler;ST, SS;DM;;;;;1;1;;1;;;;;;;;1;;;1;1
Famous People Speech ;SS;AL;;;;;1;;;;;;;;;;;;;;;
Ivava;SR;AL;1;;;1;1;1;1;1;;;;;;1;;1;;;1;1
DMBank English Pitt Corpus;CI,;AL;1;;;;1;1;1;1;;;;;;;;1;;;;
Delaware - part of DMBank;SR;AL;1;1;;1;1;1;1;1;;1;;;1;1;1;;;1;1;1
ADReSS;SS;AL;;1;;1;1;1;1;;;;;1;;;1;;;;1;1
BD Corpus;CI,;BD;;;;;1;1;1;1;;;;1;;;;1;1;;1;
Greek Corpus of Aphasic Discourse;SR;AP;1;;;1;1;1;1;1;;;;;;;;;;;1;1
APBank;ST;AP;;1;;1;1;;;;1;;;;;;1;;;;1;
CoDAS [is a pilot study];ST, SS;AP;;;;1;1;;;;;;;;;;;1;;;1;
Spnish Speech;ST, SR, SS;P;1;;;1;1;1;1;;;;1;1;;1;;1;;;1;1
Parkinson Speech Dataset;SR;P;;;;1;1;1;1;;;;;;;1;;1;;;1;1
Ye;SFT;P;1;;;1;1;1;1;1;;;1;;;;;;;;1;
WSM Corpus;YT;P, DP;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;
